날짜,종가,거래량
2022.08.09,60000.0,18251170
2022.08.10,59100.0,18084349
2022.08.11,59900.0,15141941
2022.08.12,60200.0,10786658
2022.08.16,61000.0,15036727
2022.08.17,60400.0,9061518
2022.08.18,61500.0,16372754
2022.08.19,60900.0,6923679
2022.08.22,60000.0,8259865
2022.08.23,59100.0,9041629
2022.08.24,59000.0,8888486
2022.08.25,59700.0,5767902
2022.08.26,60000.0,9499995
2022.08.29,58600.0,9841329
2022.08.30,58800.0,9690044
2022.08.31,59700.0,14203512
2022.09.01,58400.0,14905777
2022.09.02,57500.0,15040310
2022.09.05,57100.0,11425977
2022.09.06,57100.0,7503086
2022.09.07,56000.0,17384854
2022.09.08,55600.0,18000016
2022.09.13,58100.0,17166581
2022.09.14,56800.0,12524961
2022.09.15,56000.0,11664819
2022.09.16,56200.0,13456503
2022.09.19,56400.0,12278653
2022.09.20,55800.0,14041465
2022.09.21,55300.0,11863700
2022.09.22,54400.0,12786510
2022.09.23,54500.0,10555964
2022.09.26,53900.0,15008449
2022.09.27,54200.0,16631289
2022.09.28,52900.0,19991129
2022.09.29,52600.0,13882080
2022.09.30,53100.0,22503249
2022.10.04,55200.0,19148435
2022.10.05,56000.0,22458970
2022.10.06,56300.0,14944446
2022.10.07,56200.0,16886813
2022.10.11,55400.0,21437877
2022.10.12,55800.0,18408910
2022.10.13,55200.0,13784602
2022.10.14,56300.0,12924326
2022.10.17,56600.0,13641878
2022.10.18,56500.0,14820702
2022.10.19,55800.0,12660652
2022.10.20,55500.0,17107653
2022.10.21,55900.0,11456060
2022.10.24,57500.0,16944503
2022.10.25,57700.0,17405678
2022.10.26,59400.0,20824967
2022.10.27,59500.0,21756712
2022.10.28,57300.0,20924937
2022.10.31,59400.0,18999514
2022.11.01,60000.0,17201647
2022.11.02,59600.0,13202919
2022.11.03,59200.0,17492162
2022.11.04,59400.0,12445841
2022.11.07,60200.0,12437246
2022.11.08,61800.0,18273898
2022.11.09,62000.0,14045592
2022.11.10,60400.0,21087633
2022.11.11,62900.0,20037163
2022.11.14,61900.0,15973416
2022.11.15,62400.0,12310986
2022.11.16,62700.0,12909260
2022.11.17,61400.0,13298296
2022.11.18,61800.0,12236503
2022.11.21,61400.0,9378097
2022.11.22,60600.0,9411289
2022.11.23,61000.0,8765050
2022.11.24,61400.0,8125010
2022.11.25,61000.0,6677933
2022.11.28,60100.0,8589032
2022.11.29,60600.0,7014160
2022.11.30,62200.0,19768903
2022.12.01,62600.0,16631445
2022.12.02,60400.0,15331184
2022.12.05,60300.0,13767787
2022.12.06,59200.0,13888300
2022.12.07,58900.0,12100662
2022.12.08,59200.0,12986815
2022.12.09,60400.0,10529632
2022.12.12,59500.0,9036472
2022.12.13,59700.0,9040873
2022.12.14,60500.0,8207485
2022.12.15,59300.0,8716039
2022.12.16,59500.0,13033596
2022.12.19,59500.0,7696187
2022.12.20,58600.0,9284761
2022.12.21,58000.0,10356971
2022.12.22,59100.0,10720630
2022.12.23,58100.0,9829407
2022.12.26,57900.0,6756411
2022.12.27,58100.0,10667027
2022.12.28,56600.0,14665410
2022.12.29,55300.0,11295935
2023.01.02,55500.0,10031448
2023.01.03,55400.0,13547030
2023.01.04,57800.0,20188071
2023.01.05,58200.0,15682826
2023.01.06,59000.0,17334989
2023.01.09,60700.0,18640107
2023.01.10,60400.0,14859797
2023.01.11,60500.0,12310751
2023.01.12,60500.0,16102561
2023.01.13,60800.0,12510328
2023.01.16,61100.0,10039972
2023.01.17,61000.0,9831456
2023.01.18,60400.0,11584041
2023.01.19,61500.0,12808490
2023.01.20,61800.0,9646327
2023.01.25,63400.0,16822710
2023.01.26,63900.0,13278277
2023.01.27,64600.0,18760182
2023.01.30,63300.0,20995234
2023.01.31,61000.0,29746731
2023.02.01,61800.0,18570133
2023.02.02,63500.0,23285983
2023.02.03,63800.0,15194598
2023.02.06,61600.0,15529356
2023.02.07,61900.0,14491039
2023.02.08,63100.0,12243125
2023.02.09,63000.0,12164865
2023.02.10,62800.0,9382576
2023.02.13,62900.0,10730362
2023.02.14,63200.0,9126664
2023.02.15,62200.0,13208103
2023.02.16,63700.0,13798831
2023.02.17,62600.0,10791265
2023.02.20,62700.0,12908073
2023.02.21,62100.0,7665046
2023.02.22,61100.0,11959088
2023.02.23,62000.0,13047099
2023.02.24,61300.0,10308143
2023.02.27,60500.0,11155697
2023.02.28,60600.0,13715861
2023.03.02,60800.0,13095682
2023.03.03,60500.0,10711405
2023.03.06,61500.0,13630602
2023.03.07,60700.0,11473280
2023.03.08,60300.0,14161857
2023.03.09,60100.0,14334499
2023.03.10,59500.0,11902471
2023.03.13,60000.0,12779724
2023.03.14,59300.0,2307587
